"square_footage","bedrooms","bathrooms","year_built","lot_size","neighborhood","school_district_rating","crime_rate","proximity_to_amenities","economic_indicator","price"
1116,3,3,1995,7957,"Ziguinchor",6.5,9.7,7.5,129.7,534357
2016,4,2,1999,2756,"St-Louis",7.3,10,9.4,82.8,720293
1394,3,2,1970,5903,"Thies",9.4,9,6.4,102.8,636215
2522,4,2,1971,2824,"Touba",5.6,7.7,2.9,86.9,732052
1584,1,2,1956,5032,"Dakar",7,6.5,2.7,134.2,759156
2128,3,3,1974,4450,"Thies",4.3,3.2,5,118,849495
1961,4,3,2005,4023,"Thies",10.3,7.2,7.3,88.2,887876
1408,3,1,1990,4775,"Podor",9.1,4.6,2.5,103,566706
2588,2,2,1977,8431,"Tambacounda",6,3.2,8.4,96.8,739103
2121,4,2,1985,6884,"Touba",5.4,1.2,1.1,106.1,793582
1845,3,2,1976,5748,"Dakar",8.3,4.2,1.8,101.6,866474
1938,4,2,2009,3974,"Touba",7.6,9.9,6.5,86.3,687480
2140,2,2,1985,5056,"Kaolack",9.7,7.8,0.7,101,676598
1845,5,2,2020,5246,"Thies",6.2,4.7,5.6,90.6,730477
303,2,1,1969,7786,"Podor",8.2,6.2,6.1,108,381725
1942,3,3,2014,6093,"Touba",7.4,4,0.3,124,630427
1616,2,3,2012,5137,"Touba",9.6,8.1,3,86.9,688438
1893,1,2,1973,4716,"Tambacounda",5.7,8.4,2.7,86.7,511032
2091,2,1,1963,1597,"Kaolack",6.5,2.1,3.6,62.5,659116
2500,4,3,1982,3908,"Dakar",6.5,3.1,1.3,123.7,992332
1436,3,1,1986,4260,"Podor",7.3,2.8,1.9,91.2,581863
2451,2,3,1959,3281,"St-Louis",7,9.5,3.1,92.1,646300
1968,3,2,1953,7946,"Podor",5.4,2.2,5.5,127.2,696991
2319,3,2,2007,7847,"St-Louis",7.5,3.8,4.6,87.1,695710
2260,1,1,1952,3866,"Thies",6.3,8.2,0.9,77.7,727204
2160,1,2,1978,6583,"Touba",9.1,7.2,1.6,115.6,602188
1278,3,2,2007,6475,"Kaolack",5.2,3.6,9.8,116.5,562369
1755,2,2,2012,5846,"Kaolack",8.8,4,5.8,93.3,725287
2112,2,2,2013,8719,"Podor",6.9,3.5,2.5,73.9,689387
1323,2,2,2017,2318,"Thies",7.3,7,3.6,114.7,665086
1529,1,1,2008,5083,"Kaolack",7.3,5.7,2.3,118.3,604808
2090,2,1,2017,7636,"Ziguinchor",8.9,1.9,3,83.9,624779
2184,3,2,2003,4033,"Dakar",7.3,9.1,1.5,133.3,782299
2032,2,2,1986,3054,"Thies",8.2,5.4,2,102.2,800971
1357,2,2,1960,4473,"Ziguinchor",8.1,3.4,1.4,87.1,591821
1250,4,2,2011,6754,"St-Louis",8.4,9.7,9.4,80.3,588934
2556,3,3,2006,5005,"Dakar",6.3,8.4,0.2,117,818854
1929,3,2,2002,2699,"Tambacounda",9.1,9.5,6.8,97.2,599985
1844,2,2,1959,6999,"Tambacounda",7.7,7.8,6.7,97.8,724822
1740,3,1,2000,5407,"Tambacounda",6,8.6,1.1,112.9,575114
1203,3,2,2019,6824,"St-Louis",8.8,3,9.2,86.2,611869
2106,5,2,1965,3457,"Tambacounda",7.7,7.5,7,95.6,781988
1691,3,2,2018,6534,"Touba",7.9,8.5,4.6,99.1,535646
1709,3,2,1954,2919,"Dakar",8.8,6.7,0.6,122.4,779421
2267,1,3,1996,5888,"St-Louis",4.9,8.8,1.1,122.3,658230
2211,3,3,2017,5988,"Dakar",7.6,3.2,9.6,122.9,890453
2496,5,3,2005,1794,"Touba",8.6,8.8,8.1,90.8,700885
1562,4,3,1960,6761,"Thies",8.3,1.5,6.2,37.2,831079
2125,3,2,1976,1938,"Ziguinchor",7.5,6,8.8,105.3,726921
2496,2,2,2011,2925,"St-Louis",8.9,6,5.1,96.7,668660
1245,2,3,2014,7533,"Dakar",5.5,1.8,8.2,78,625315
1370,3,2,1984,4917,"Kaolack",6.4,2,9,130.8,621934
1234,1,3,1973,6503,"Podor",6.1,6.1,9.2,119.5,525592
1070,2,2,2001,5319,"Thies",9.5,2.7,8.3,93.5,607546
1840,2,1,1954,759,"Dakar",7.6,3.6,0.8,98.5,740148
2127,3,3,1969,1963,"Podor",6.5,7,2.8,101.8,757327
2400,2,2,1973,2853,"Dakar",7.7,6,2.1,104.9,880909
2322,3,1,1995,4020,"Ziguinchor",4.7,2.2,7.4,127.6,701648
1298,4,2,2004,6336,"Podor",9.7,5,9.3,112.8,669728
2724,4,2,2019,3134,"Tambacounda",7.9,9.5,2.3,144.2,775956
1467,3,2,2006,4580,"Thies",10,5.3,4.9,115.2,699804
1853,5,2,1978,6185,"Dakar",5.7,2.5,3.4,108.9,883922
1589,4,2,1960,3533,"Thies",8.1,8.9,3.5,88.3,704071
1739,3,2,1973,8774,"Ziguinchor",7,4.8,8.4,90.6,673709
1894,3,2,2015,4918,"St-Louis",8.3,9.9,5.5,88.6,672422
1860,3,1,1959,8737,"Dakar",8,1.6,9.1,123,789463
1787,2,2,1989,4430,"Thies",6.9,6.5,9.8,94.4,753861
1854,3,2,1986,2739,"Tambacounda",9.4,6.3,2.4,66.5,585144
1557,3,2,1982,9044,"Tambacounda",5.4,8.5,0.1,104,531061
1548,4,2,1994,7865,"Thies",6.3,3.9,6.8,77.5,759243
969,2,2,2015,7435,"Dakar",8.6,9.7,6.6,119.6,581160
1609,3,2,2000,9988,"Podor",6.9,3.2,6.6,76.7,700908
1544,4,2,2021,6580,"Tambacounda",5.8,6.2,4.3,92,531496
3151,5,2,2000,5232,"Touba",8,5.1,5.3,96.8,856836
1119,2,2,2002,5840,"Touba",9.2,8.5,3.6,133.6,531818
1869,2,2,1960,1518,"Thies",7.8,4.3,9,107.5,833508
1053,3,2,1953,1077,"Ziguinchor",9.5,9.8,8,113.3,573720
1065,3,1,1973,5865,"Ziguinchor",7.2,1.8,2.5,80.6,576260
1862,2,3,2006,3995,"Ziguinchor",5.8,9.1,8,116.1,622621
1302,2,1,1977,6599,"Tambacounda",7,3.6,9.9,94.6,488618
1799,4,1,1969,3689,"Podor",8.2,9.8,8.7,79.5,658187
1586,3,2,1960,9205,"Tambacounda",7,3.9,9.4,118.3,768290
1493,4,2,1992,4727,"Tambacounda",8.3,2.9,3.6,84.7,652450
788,3,2,2005,-692,"Ziguinchor",7.3,6.7,5.3,125,451207
1188,3,2,1959,9140,"Ziguinchor",5.5,5.7,9.9,136.8,648107
1890,2,2,1996,6054,"Thies",5.9,3.5,2.3,143.4,781842
2084,3,2,2002,5494,"Touba",7.3,3.4,10,85.8,728338
1554,2,2,1958,3876,"Tambacounda",9,8.9,5.2,79.1,623654
1800,2,2,2011,6629,"St-Louis",6.9,1.1,2.6,94.5,519531
2361,4,1,2014,6327,"St-Louis",5.1,7.5,6.4,105,684878
2520,3,2,1993,7417,"St-Louis",10.2,8.5,6.7,110,782021
1251,2,1,2010,5548,"Dakar",6.4,9.9,6.2,129.8,659947
1741,2,2,2020,4839,"Dakar",6.9,4.2,2.3,130.4,716890
2401,3,3,1950,5797,"Kaolack",7.5,3.7,3,110.8,751432
1565,2,1,1953,1711,"Podor",6.4,8.1,4.5,87.1,546636
1774,4,1,1968,5662,"St-Louis",6.3,2.1,4.2,147.8,705497
1757,3,2,1991,4513,"Thies",4.8,9.6,3,110.4,688396
1356,3,2,1957,9709,"Dakar",7.2,8.8,2.9,81.5,770056
1578,2,2,1975,4566,"St-Louis",7,4,9.7,85.2,694135
1785,2,3,2021,5991,"Tambacounda",7.4,8.5,5.4,123.4,609745
1593,4,3,2021,3139,"Podor",8.6,3,3.9,27.5,636847
2357,3,2,1998,2810,"Podor",5.8,5.9,4.4,96.9,650334
1560,4,3,1984,2002,"Touba",7,3.2,6.3,75.6,691236
1583,2,2,1980,3321,"Ziguinchor",6.4,4.6,0.3,110,580176
2148,2,2,1996,1701,"Kaolack",7,1.1,2.3,90.7,659752
1272,3,2,2002,5577,"Kaolack",6.1,4.3,1.5,89.2,593249
1780,3,2,1980,4367,"Dakar",7.2,9.2,3.2,96.6,761018
1024,3,2,1982,2950,"Tambacounda",6.7,6.4,7.3,109.1,559126
2384,2,3,1954,6294,"Tambacounda",10,2.5,4.1,132.3,814086
1663,4,2,2015,4859,"Kaolack",6.9,6,6,63.9,667609
1566,3,2,2001,-618,"Tambacounda",4.3,4.6,1,95.9,614326
1181,1,2,1971,3002,"Podor",4,1.8,6.8,121.2,533629
1796,2,1,1968,5825,"Tambacounda",9.4,4.5,3.8,118.8,668411
1400,1,2,1985,2348,"Podor",7.6,8.3,0.7,62.1,544000
1533,3,2,1973,5845,"Thies",6.6,4.7,8.4,117,822684
2444,2,2,1973,6168,"Tambacounda",6,3.6,0.2,98.9,678962
1712,5,1,2021,2789,"Ziguinchor",8,6.4,3.5,96.7,500863
1264,1,3,2007,4826,"Touba",6.6,8.1,5.4,96.2,508944
1882,3,2,1965,6854,"Ziguinchor",8.7,1.1,0.7,96,668240
1619,1,2,2006,5832,"Kaolack",5.4,1.9,3.4,38.4,577929
2095,2,2,1996,8686,"Kaolack",5.6,4.7,4.6,98.2,745540
2516,3,1,1965,6494,"Tambacounda",6.6,4.2,3.3,141.7,796005
1304,5,2,1982,5771,"St-Louis",7.9,1.5,2.5,95.9,671675
2027,3,2,1971,3672,"Ziguinchor",8.2,2.6,8.5,63.5,747185
1842,3,2,1988,6138,"Ziguinchor",8.5,3.4,1.2,106.6,655505
2248,4,2,1989,-173,"Dakar",6.2,2.5,3.3,108.4,842310
1685,3,2,2020,6081,"Dakar",9,5.5,3.8,129,738713
2218,2,2,2015,4798,"Touba",11.7,2,0.7,68.2,793532
927,3,1,1980,5196,"Tambacounda",8.6,6,2.4,87.8,523024
2645,3,2,2003,6096,"Podor",3.5,9.5,0.8,91.7,680527
2232,3,2,1982,4522,"Touba",7,6.1,4.6,109.2,753231
1725,3,2,1950,5604,"Touba",7.2,7.4,5.6,80.3,654466
1075,3,2,2019,5522,"Dakar",5.7,4,5.7,93.1,632923
2122,3,2,1970,3226,"Kaolack",9.2,9.6,6.9,94.8,722717
2042,3,2,2014,3618,"Tambacounda",6.6,5.8,7.5,85.3,804168
1797,3,1,1985,3647,"Thies",7.4,9,7.7,110.9,701589
1876,2,1,1994,5252,"Thies",7.3,2.5,9.2,100.4,765256
1508,3,2,2019,7617,"Kaolack",9.1,2.6,4.2,112,672603
1984,1,1,1997,4999,"Touba",7.8,2.4,4.1,70.5,646752
1947,3,2,1994,5962,"Ziguinchor",8,5.4,9.1,76.3,627695
1660,3,2,2005,3098,"Kaolack",3.5,3.8,9.8,77.6,695460
1132,3,3,2007,5428,"Thies",5.3,7.8,5.5,83.1,612673
2150,3,2,2006,4677,"Tambacounda",5.6,6.4,3.6,119.4,616154
2077,2,2,2014,5919,"Dakar",5.8,9.4,8.6,90.2,797559
1382,1,2,2016,2866,"Thies",6.8,7,1,112.7,610711
1003,3,2,1962,6018,"Ziguinchor",8.2,5.5,9.7,80.2,552014
1902,3,2,1974,4572,"Ziguinchor",7.4,7.6,1.9,114.9,654170
1627,1,2,2021,8412,"St-Louis",5.5,5.2,4.9,69.7,501121
1926,2,1,1988,5385,"St-Louis",7.9,6.7,8.1,98.1,656470
1153,3,2,1952,3439,"Thies",8.8,1.6,0.3,71.5,728968
1320,4,2,1955,6069,"Tambacounda",8.2,4.8,6.2,136.2,665737
2343,3,3,2017,4430,"Ziguinchor",7.4,3.7,4.9,134.6,696455
2002,5,1,2015,2900,"Tambacounda",5.6,3,7.4,125.4,730829
2093,2,1,1969,5523,"Tambacounda",5.7,8.1,8.1,92.6,714061
2708,2,2,2000,4179,"Ziguinchor",7.6,9.6,8.8,117.2,782236
1864,3,2,1979,6066,"Podor",7,2.4,5.4,52.3,789049
800,3,2,1950,6735,"Thies",9.4,6.7,2.8,98.5,664698
1967,3,2,2010,3963,"Ziguinchor",9.2,9.2,8.6,82.4,676781
2386,1,2,2006,-1133,"Dakar",7.7,7.5,9.4,86.6,765417
2830,3,1,1973,4213,"Dakar",5.4,2.6,1.8,136.7,900066
1112,3,2,2009,2841,"Kaolack",5.5,5.8,8.3,79.4,706577
1225,2,3,1996,4829,"Ziguinchor",6.6,2.3,4.3,50.4,547313
1447,4,2,2000,4093,"Podor",7.2,9,4.6,124.3,568696
1273,2,2,1963,7533,"Dakar",8.4,6.4,9.3,77.4,740312
1477,2,1,2011,5625,"Ziguinchor",8.3,4.3,3.5,99.7,485500
1707,3,2,1994,5442,"Dakar",6.5,8.5,3.7,119.1,702630
1199,3,3,1994,5141,"Thies",7.6,4.1,4.5,99.2,591565
2818,3,2,2004,2118,"Ziguinchor",8.9,5.5,3.8,92.5,782715
1854,2,2,1979,11395,"Touba",7.6,6,2.2,82.1,632818
1758,3,3,1977,2455,"Podor",7,4.9,6.8,74.9,727880
2048,2,1,1971,4436,"Thies",3.2,5.3,2.3,114.6,622122
1819,3,2,1981,4390,"Kaolack",6,3.3,4.5,94.7,709708
1734,2,2,1954,4659,"Kaolack",7,9.9,9.4,61.5,643665
2538,1,2,1955,3036,"Podor",6.9,6.7,5.6,120.5,672775
1691,1,2,1992,5365,"Kaolack",7,3,5.2,91,558515
1158,3,2,1985,5845,"Podor",7,7.5,7.9,102.5,555419
1993,3,2,1964,4256,"Thies",9.5,3.5,7.7,74.3,787919
1624,3,2,1965,2672,"Dakar",9.2,4.9,4.8,115.5,839893
1539,3,2,1978,8372,"Kaolack",7,9.8,9.1,54.6,688190
1266,1,2,1993,3776,"Touba",6.2,3.3,7.2,127.4,565605
2014,3,2,1960,680,"Kaolack",7.1,8.5,8.9,127.3,698385
1713,1,2,1987,5372,"Podor",6.7,7.7,4.6,108.7,550997
2058,2,2,2020,4985,"Ziguinchor",5.6,9.2,4.9,138.7,623115
1683,1,2,2010,607,"Podor",5.4,1.1,0.1,121.1,503203
1471,3,1,1958,5594,"Dakar",8.1,6.5,1.1,86.7,777071
2425,2,2,1958,4556,"Podor",6.9,1.1,6.5,112.6,764348
1664,3,2,2019,11349,"Tambacounda",6.3,9.3,7.4,97,540520
2274,4,2,1998,5458,"Dakar",7,7,7.1,89.6,853935
1199,4,3,1989,4295,"Podor",8,8.8,1.4,72,665770
1567,2,1,1953,6351,"Podor",10.4,3.2,7.8,82.9,665244
1665,2,2,2009,2378,"Podor",5.9,7.5,6.9,135.9,519281
1605,2,2,1994,7298,"Ziguinchor",6.6,2.9,3.9,70.5,602490
2474,4,2,1969,8705,"St-Louis",8.8,9,0.2,81,772771
1789,2,3,2002,5240,"Kaolack",9.5,6.5,6.2,116.5,788303
1922,1,2,1984,7090,"Dakar",8.2,6.6,9.7,105,823543
1329,1,2,1956,4199,"Tambacounda",6.5,3.1,0,122.4,581805
1435,3,2,1971,4166,"Podor",9.8,5.4,9.1,121.6,705552
2299,3,2,2002,4353,"Tambacounda",5.6,7.3,1.7,37.3,683508
2429,1,2,1952,5383,"Kaolack",6.1,1.7,9.4,106.8,845025
2424,2,2,2010,7362,"St-Louis",6.8,8.9,0.7,92.7,684349
1110,4,3,2012,6051,"Ziguinchor",9.5,8.2,9.5,59.4,626716
2825,3,2,2001,5956,"Tambacounda",8.2,7.4,4.9,97.2,738917
2308,1,2,2020,5501,"Thies",6.7,6.2,0.7,120.4,729905
1787,3,2,2003,5777,"Thies",8.6,3.8,8.6,73.9,781046
2152,4,2,1960,4020,"Podor",6.4,5.7,1.6,61.9,792027
1314,2,2,1974,4745,"Thies",7.1,7.2,3.3,105.2,700946
1252,2,3,1994,3921,"Podor",7,6.6,7,103.8,485679
1825,3,2,1959,6683,"St-Louis",10.6,8.9,0.5,88.2,721587
1201,5,1,1967,2513,"Tambacounda",4.9,2.8,4.3,50.9,546850
1895,2,2,1964,2354,"Kaolack",8.2,1.5,6,124.7,691968
2449,2,2,1977,4428,"Thies",6.3,3.1,3,79.1,810155
1283,3,1,2015,7121,"Tambacounda",5.9,6.3,1.5,77.5,498271
1431,3,2,1975,9373,"Podor",6.9,7.1,5.8,69,638350
1823,3,2,1993,2561,"Thies",7.7,1.5,3.8,78.3,812414
1291,2,2,1995,3547,"Ziguinchor",6.8,4.8,8.5,103.7,563254
1608,2,2,2006,1771,"St-Louis",5,5.2,3,113,555771
2236,3,2,1988,7917,"Tambacounda",6.8,7.8,5.1,107.5,740032
2285,3,3,1991,4764,"St-Louis",7.5,4.2,6,91.7,774541
1992,1,3,1991,6421,"Dakar",6.2,5.3,3.6,117.7,807823
874,4,1,1999,4760,"Tambacounda",9.5,1.7,1.3,97.7,540910
1773,3,2,1981,7121,"Thies",6.5,3.4,3.6,78.2,753961
2332,3,2,1992,9166,"Touba",3.7,7.3,9.1,123.9,703835
2207,1,2,2001,1598,"Tambacounda",5.1,6,9,80.9,551493
1705,3,3,2003,6084,"Tambacounda",6,1.8,9,114.9,710031
450,3,1,1987,4705,"Touba",5.9,9.1,2.1,122,369127
1830,2,2,2006,6036,"Kaolack",5.9,9.6,5.6,89.9,569632
2087,3,2,1994,6320,"Ziguinchor",3.4,7.7,3.6,115,649544
1823,4,1,1976,2175,"St-Louis",7.4,6.7,1.7,77.9,638781
1879,1,1,2021,4178,"Touba",7.2,9.4,4.8,87.5,554593
2016,1,2,1985,5146,"St-Louis",10.2,3.8,6.8,115.7,623391
1602,2,2,1982,4213,"Thies",6.9,9,0,67.8,613118
2455,2,2,1986,3479,"Dakar",6.7,5.7,5.3,78.5,881818
2035,3,2,1976,6369,"Thies",5.5,5.9,7.9,124.6,764388
1179,3,1,1950,4871,"Ziguinchor",11.5,5.2,0.1,90.8,648448
2491,2,3,1982,5664,"Kaolack",8.4,3.9,7.8,117.4,829485
2402,3,2,2019,3704,"Tambacounda",6.3,7.7,8.2,90.1,715889
2212,3,2,1961,4438,"St-Louis",6.7,2.3,7.3,101,685275
969,5,1,1986,7986,"Thies",9.3,7.2,7.8,107.6,560220
1515,3,2,2016,3569,"Ziguinchor",5.9,6.4,1,101.5,503031
2118,2,2,2002,5348,"Touba",5.5,8.6,6.6,81.6,653345
1822,4,2,1986,6546,"Ziguinchor",7.8,6.6,5.4,115.4,761131
1974,3,2,1981,7052,"St-Louis",7.8,9.8,5,77.9,653740
3030,5,2,1998,6362,"Kaolack",5.7,4.3,1.8,98.2,928537
1391,4,1,2007,6458,"Dakar",3.9,10,4.9,129.5,626341
743,3,2,1985,6568,"Thies",4.8,3.6,3.6,132.3,611908
1937,4,3,1958,1368,"Ziguinchor",7,2.5,2.7,103,787411
1456,2,2,1976,5093,"Ziguinchor",4.5,3.9,4.2,134,570080
2023,3,2,1989,6448,"Thies",9.8,7.7,9.1,115.3,961997
1394,5,1,1973,3861,"Podor",6.3,7,2.3,127.1,565676
2906,4,2,1952,2415,"Tambacounda",7.6,1.9,5.8,103.8,893666
1738,2,1,1971,6469,"Tambacounda",5.9,2.5,0,87.5,522354
1561,3,2,1970,6901,"Thies",6.8,5,0.2,102.1,639721
1717,3,2,2020,5453,"Tambacounda",8.2,1.5,8.2,73.6,662163
2231,2,2,1958,2728,"Touba",5,3.6,4.9,119.7,736349
1849,2,2,1961,4218,"Podor",5.8,5.2,4.6,86.8,648069
987,3,2,1991,8629,"St-Louis",6.4,8.3,5.1,101.2,570613
1798,3,1,2009,9003,"Ziguinchor",7.4,2.1,0.2,79.9,531980
2180,4,1,2014,7014,"Kaolack",8.4,8.4,7.4,80.7,726276
1819,2,1,1982,7163,"Podor",4.5,2.1,3.5,102.6,525261
2168,2,2,1960,6619,"Dakar",5.6,7,0.1,133.9,729745
1727,3,3,1955,1784,"Dakar",7.1,7.4,7.7,87.5,867558
1771,2,3,1967,4644,"Thies",9.9,3.5,5.3,108,771957
2041,3,2,2001,5740,"Podor",8.2,3.6,8.8,59.4,769188
2296,2,2,2006,6217,"Podor",6.6,4.3,8.1,133.9,668736
1177,2,1,1986,4989,"Kaolack",6.1,6.5,5,90.3,499773
1783,2,1,1957,1280,"Kaolack",5,5.5,7.2,97.6,690097
1765,3,1,1963,6411,"Tambacounda",5.9,2.9,9,117.9,658028
1421,3,2,2014,6758,"Touba",7.4,3.4,4,104.1,620496
1283,2,2,1986,4486,"Thies",4.4,6.4,0.6,78.6,620972
1485,4,3,2002,3652,"Tambacounda",4.2,1.9,8.6,102.1,622229
2093,2,2,1997,1830,"Ziguinchor",6.4,6.6,10,122.8,616528
1592,1,3,2019,3928,"Touba",6.6,8.1,1.6,53.7,543210
1408,2,1,2012,645,"Touba",8.8,2.3,2.3,103.1,547809
1882,5,1,1999,8705,"Thies",7.3,4.2,9.6,150.2,815228
1182,2,2,1958,3557,"Thies",7,2.9,1.8,109.1,634733
2323,1,2,2012,6366,"St-Louis",5.1,3.6,7.8,100.4,681860
1558,2,1,1989,4154,"Podor",7.2,1.3,7.8,120.1,603529
1895,5,1,1983,4020,"Touba",5.9,9.6,6.1,125.1,674316
1826,3,2,1970,3681,"Touba",6.3,9.9,6.1,75.2,566964
1800,5,2,1973,4774,"Dakar",6.4,6.9,2.3,124.1,849819
2705,3,2,1967,4859,"Touba",6.8,2.9,9.9,72,792386
1387,2,2,2004,6137,"Ziguinchor",8.6,2.8,6.8,95.3,649975
2373,3,2,1985,5288,"Tambacounda",5.8,5,3.9,123.1,761566
1816,2,2,2000,6483,"Ziguinchor",8.4,7,6.5,96.5,670143
1382,1,2,2013,9143,"St-Louis",8.7,8.7,4.7,82.4,506317
1766,5,2,1955,1145,"Kaolack",3.3,5.9,6.4,83.5,675118
2173,2,2,1966,8084,"Podor",5.8,5.9,9.4,118.5,729083
1587,2,2,1956,7300,"Tambacounda",7.8,2.8,2.5,109.4,594548
1414,2,1,1978,3266,"Dakar",6.3,2.2,9.9,115.4,725816
1876,3,2,1952,9045,"Ziguinchor",6.2,2.3,9.3,102.5,643025
2294,2,2,2000,6199,"Ziguinchor",7.4,6.6,9.5,98,698971
1763,2,2,1987,3193,"Kaolack",6.3,4,9.7,93,622609
1106,2,2,1961,6714,"Kaolack",5.4,8.4,4.8,96.1,507222
1147,3,1,1983,4310,"Tambacounda",6,7.1,5,105.5,378528
1416,2,2,1967,2856,"Dakar",6.7,1.4,10,114.5,815550
1536,2,2,2003,3266,"Tambacounda",7.6,9.9,4.5,91.3,485148
1789,2,1,2002,5029,"St-Louis",4.8,7.7,2.8,106.9,497873
2135,4,3,1983,9091,"Tambacounda",7.1,4.7,3.1,99,736796
1583,4,2,1967,8078,"Kaolack",4.9,9.3,7.5,92.3,607841
1243,3,2,1996,6619,"Ziguinchor",5.7,4.8,2.7,89.9,598859
2104,1,1,1995,4518,"Touba",9.1,8.3,0.1,92.5,587481
1938,4,2,2020,6208,"Ziguinchor",7.5,9,6,91.9,679200
2379,1,1,1967,8107,"Podor",6.2,6.6,7.7,98.2,683323
959,4,3,1950,4299,"Tambacounda",7.3,3.7,5,124.3,602969
1844,2,2,2010,4868,"Ziguinchor",7.3,6.5,9.3,131.1,642362
2477,4,2,1978,9950,"Podor",6.9,5.3,8.2,109,823323
2162,1,3,2000,5192,"Ziguinchor",5.1,6.5,9.4,134.1,645824
1384,3,3,1991,742,"St-Louis",7.9,4.5,5.7,78.9,645551
2166,2,1,2011,4203,"Kaolack",7.2,2.3,3.7,92.2,714783
1364,4,2,2005,1414,"Ziguinchor",9,4.7,0,77.7,566794
1573,2,2,1981,7687,"Podor",5.1,3.4,9,110.3,559289
2394,4,2,2017,8310,"Dakar",8.2,2.4,2.3,95.6,896539
1655,2,2,2013,7828,"Kaolack",6,3.8,9.8,71.1,653395
2214,3,2,1968,7829,"Dakar",8.9,1.8,5.4,110,913568
1654,4,1,1982,4239,"Thies",8.7,9.1,0.2,100.3,700206
1012,2,2,2018,3119,"Dakar",7.2,9,4.9,120.6,608822
1376,3,2,2004,3701,"Tambacounda",6.9,3.6,9.5,83.7,542209
1256,2,2,1993,3219,"Ziguinchor",8.2,2.1,5.8,86.5,637279
1558,3,3,1986,4243,"Tambacounda",3.8,4.7,6.3,80.3,573573
1632,2,1,1974,3118,"Kaolack",6.7,1.5,7.7,79.4,621090
1723,1,3,2013,8686,"Thies",3.1,5.3,4.6,81.1,746997
1678,3,2,2020,8836,"Thies",9.6,1.8,5.2,105.7,697867
2746,3,3,2015,3505,"Tambacounda",6.9,3.4,8.7,120.1,719867
1107,2,2,1987,5382,"St-Louis",7.9,6.5,0.6,148.7,519785
